"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"IC1";"SON50P200X200X90-9N-D";1;"MIC23050-SYML-TR";;;
2;"R4,R6,R3,R2,R10";"R_0402_1005Metric";5;"1M";;;
3;"R7,R11,R1";"R_0402_1005Metric";3;"4.7M";;;
4;"R14";"R_0402_1005Metric";1;"4k";;;
5;"R17,R8,R18";"R_0402_1005Metric";3;"390k";;;
6;"C8,C9";"C_0402_1005Metric";2;"4.7uF";;;
7;"R9,R5";"R_0402_1005Metric";2;"12K";;;
8;"U3,U4";"WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm";2;"DRV8837C";;;
9;"C3,C12,C5,C13,C1,C2,C4";"C_0402_1005Metric";7;"0.1uF";;;
10;"R16,R15";"R_0402_1005Metric";2;"300";;;
11;"C10";"C_0402_1005Metric";1;"560pF";;;
12;"C6,C7";"C_0402_1005Metric";2;"uF";;;
13;"S1,S2";"EVPAWBD4A";2;"EVP-AWBD4A";;;
14;"R13,R12";"R_0402_1005Metric";2;"5.1k";;;
15;"D1";"D_0402_1005Metric";1;"D";;;
16;"R19,R20";"R_0402_1005Metric";2;"10k";;;
17;"J1";"GSB1C41110SSHR";1;"GSB1C41110SSHR";;;
18;"IC3";"QFN50P300X300X100-17N";1;"LM324QT";;;
19;"J2,J3";"PinHeader_1x02_P1.27mm_Vertical";2;"Conn_01x02";;;
20;"L1";"L_0805_2012Metric";1;"L";;;
21;"D4";"SB0603WC01-RG";1;"LED_Dual_KAKA";;;
22;"U1";"ESP32C3MINI1H4X";1;"ESP32-C3-MINI-1-H4X";;;
23;"IC2";"SON50P200X200X80-9N";1;"RT9527GQW";;;
24;"C11";"C_0402_1005Metric";1;"500nF";;;
25;"J7,J6";"TestPoint_Pad_D1.0mm";2;"Conn_01x01";;;
26;"J4";"Transducer";1;"Conn_01x02";;;
27;"J5";"JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal";1;"Conn_01x02";;;
