Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0402_1005Metric",153.240000,-64.100000,180.000000,top
"C2","0.1uF","C_0402_1005Metric",148.700000,-68.350000,0.000000,top
"C3","0.1uF","C_0402_1005Metric",153.240000,-63.150000,0.000000,top
"C4","0.1uF","C_0402_1005Metric",151.870000,-63.600000,90.000000,top
"C5","0.1uF","C_0402_1005Metric",153.030000,-41.700000,0.000000,top
"C6","0.001uF","C_0402_1005Metric",151.200000,-45.960000,180.000000,top
"C7","0.001uF","C_0402_1005Metric",156.870000,-46.100000,-90.000000,top
"C8","4.7uF","C_0402_1005Metric",158.140000,-66.380000,90.000000,top
"C9","4.7uF","C_0402_1005Metric",148.100000,-58.960000,90.000000,top
"C10","560pF","C_0402_1005Metric",157.330000,-64.760000,180.000000,top
"C11","1uF","C_0402_1005Metric",158.850000,-68.200000,-90.000000,top
"C12","1uF","C_0402_1005Metric",162.400000,-44.300000,90.000000,top
"C13","0.1uF","C_0402_1005Metric",144.550000,-58.400000,180.000000,top
"C14","0.1uF","C_0402_1005Metric",154.630000,-63.600000,90.000000,top
"C15","0.1uF","C_0402_1005Metric",162.380000,-46.180000,90.000000,top
"C16","4.7uF","C_0402_1005Metric",160.270000,-67.630000,0.000000,top
"C17","0.1uF","C_0402_1005Metric",152.180000,-65.560000,-90.000000,top
"C18","0.1uF","C_0402_1005Metric",160.270000,-68.610000,0.000000,top
"D1","D","D_0402_1005Metric",156.785000,-41.710000,180.000000,top
"D2","LED","LED_0402_1005Metric",153.582500,-65.040000,180.000000,top
"D3","LED","D_0402_1005Metric",161.400000,-41.400000,0.000000,top
"IC1","MIC23050-SYML-TR","SON50P200X200X90-9N-D",159.900000,-65.300000,-90.000000,top
"IC3","LM324QT","QFN50P300X300X100-17N",154.260000,-44.310000,90.000000,top
"J1","GSB1C41110SSHR","GSB1C41110SSHR",154.500000,-74.100000,0.000000,top
"L1","L","L_0805_2012Metric",156.900000,-63.450000,0.000000,top
"R1","4.7M","R_0402_1005Metric",154.905000,-41.710000,180.000000,top
"R2","1M","R_0402_1005Metric",151.190000,-44.500000,180.000000,top
"R3","1M","R_0402_1005Metric",154.980000,-46.910000,0.000000,top
"R4","1M","R_0402_1005Metric",159.290000,-45.470000,0.000000,top
"R5","12K","R_0402_1005Metric",151.180000,-46.910000,180.000000,top
"R6","1M","R_0402_1005Metric",151.190000,-43.540000,180.000000,top
"R7","4.7M","R_0402_1005Metric",151.190000,-41.590000,0.000000,top
"R8","390k","R_0402_1005Metric",151.190000,-42.540000,0.000000,top
"R9","12K","R_0402_1005Metric",157.850000,-46.110000,-90.000000,top
"R10","1M","R_0402_1005Metric",157.830000,-43.160000,-90.000000,top
"R11","4.7M","R_0402_1005Metric",156.880000,-43.160000,90.000000,top
"R12","5.1k","R_0402_1005Metric",150.580000,-68.350000,180.000000,top
"R13","5.1k","R_0402_1005Metric",152.010000,-67.900000,90.000000,top
"R14","261","R_0402_1005Metric",161.400000,-42.400000,0.000000,top
"R15","1k","R_0402_1005Metric",155.480000,-65.040000,0.000000,top
"R17","390k","R_0402_1005Metric",161.380000,-46.180000,-90.000000,top
"R18","390k","R_0402_1005Metric",163.380000,-46.180000,90.000000,top
"R19","10k","R_0402_1005Metric",163.375000,-44.300000,-90.000000,top
"R20","10k","R_0402_1005Metric",146.400000,-58.410000,180.000000,top
"R21","10k","R_0402_1005Metric",148.110000,-57.110000,-90.000000,top
"R22","10k","R_0402_1005Metric",153.090000,-46.910000,180.000000,top
"R25","10k","R_0402_1005Metric",153.010000,-67.910000,90.000000,top
"S1","EVP-AWBD4A","EVPAWBD4A",145.850000,-54.120000,180.000000,top
"S2","EVP-AWBD4A","EVPAWBD4A",145.850000,-50.120000,180.000000,top
"S3","SSU-121BRT","SSU121BRT",146.500000,-43.800000,-121.500000,top
"U1","ESP32-C3-MINI-1-H4X","ESP32C3MINI1H4X",157.900000,-55.000000,-90.000000,top
"U2","MCP73832-2-OT","SOT-23-5",155.590000,-67.400000,180.000000,top
"U3","DRV8837C","WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm",149.750000,-66.550000,180.000000,top
"U4","DRV8837C","WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm",149.750000,-64.000000,180.000000,top
