Ref,Val,Package,PosX,PosY,Rot,Side
"C1","4.7uF","C_0402_1005Metric",116.370000,-90.980000,-90.000000,bottom
"C2","0.1uF","C_0402_1005Metric",115.420000,-90.980000,90.000000,bottom
"C3","1uF","C_0402_1005Metric",119.610000,-90.920000,90.000000,bottom
"C5","0.1uF","C_0402_1005Metric",130.620000,-107.130000,0.000000,bottom
"C6","0.1uF","C_0402_1005Metric",124.740000,-91.010000,90.000000,bottom
"C8","4.7uF","C_0402_1005Metric",124.280000,-89.590000,0.000000,bottom
"C10","4.7uF","C_0402_1005Metric",120.540000,-90.920000,90.000000,bottom
"IC1","MMC5633NJL","BGA4C40P2X2_85X85X60",128.740000,-106.920000,0.000000,bottom
"J3","GSB1C41110SSHR","GSB1C41110SSHR",131.915000,-98.850000,-90.000000,bottom
"R1","5.1k","R_0402_1005Metric",118.960000,-108.650000,0.000000,bottom
"R2","5.1k","R_0402_1005Metric",120.840000,-107.680000,180.000000,bottom
"R3","10k","R_0402_1005Metric",118.660000,-90.940000,-90.000000,bottom
"R5","10k","R_0402_1005Metric",127.170000,-91.420000,180.000000,bottom
"R6","10k","R_0402_1005Metric",117.720000,-90.950000,-90.000000,bottom
"R9","10k","R_0402_1005Metric",130.620000,-106.200000,180.000000,bottom
"R10","390k","R_0402_1005Metric",123.780000,-90.980000,-90.000000,bottom
"R11","390k","R_0402_1005Metric",125.690000,-91.010000,90.000000,bottom
"R13","1k","R_0402_1005Metric",124.710000,-87.470000,180.000000,bottom
"U1","ESP32-C3-MINI-1-H4X","ESP32C3MINI1H4X",117.650000,-99.550000,-90.000000,bottom
