Ref,Val,Package,PosX,PosY,Rot,Side
"C4","0.1uF","C_0402_1005Metric",121.990000,-98.130000,0.000000,top
"C7","560pF","C_0402_1005Metric",121.640000,-95.680000,90.000000,top
"C9","0.1uF","C_0402_1005Metric",127.690000,-97.320000,0.000000,top
"C15","0.1uF","C_0402_1005Metric",118.390000,-99.390000,90.000000,top
"C16","0.1uF","C_0402_1005Metric",117.430000,-99.380000,90.000000,top
"C17","10uF","C_0402_1005Metric",117.130000,-105.460000,-90.000000,top
"C18","22nF","C_0402_1005Metric",120.135000,-99.075000,180.000000,top
"C19","0.1uF","C_0402_1005Metric",125.560000,-99.380000,90.000000,top
"C20","0.1uF","C_0402_1005Metric",124.600000,-99.370000,90.000000,top
"C21","10uF","C_0402_1005Metric",123.610000,-105.458750,-90.000000,top
"C22","22nF","C_0402_1005Metric",127.655000,-100.125000,180.000000,top
"C23","0.1uF","C_0402_1005Metric",123.020000,-95.810000,0.000000,top
"D1","LED","D_0402_1005Metric",131.550000,-92.775000,-90.000000,top
"D2","LED","D_0402_1005Metric",124.990000,-87.770000,-90.000000,top
"IC2","MIC23050-SYML-TR","SON50P200X200X90-9N-D",122.700000,-93.100000,-90.000000,top
"J1","Conn_01x08","JST_SH_BM08B-SRSS-TB_1x08-1MP_P1.00mm_Vertical",120.725000,-109.675000,0.000000,top
"J2","Conn_01x02","JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal",116.550000,-88.450000,0.000000,top
"L1","L","L_0805_2012Metric",122.787500,-90.575000,0.000000,top
"R7","390k","R_0402_1005Metric",120.150000,-98.140000,0.000000,top
"R8","15k","R_0402_1005Metric",122.010000,-99.060000,0.000000,top
"R12","10k","R_0402_1005Metric",125.020000,-89.770000,-90.000000,top
"R14","5.1k","R_0402_1005Metric",127.660000,-98.250000,0.000000,top
"R15","5.1k","R_0402_1005Metric",127.670000,-99.190000,180.000000,top
"R16","1k","R_0402_1005Metric",120.650000,-100.470000,90.000000,top
"R17","1k","R_0402_1005Metric",130.575000,-92.775000,-90.000000,top
"R18","1","R_0402_1005Metric",118.820000,-105.570000,-90.000000,top
"R19","1","R_0402_1005Metric",115.430000,-105.500000,-90.000000,top
"R20","1k","R_0402_1005Metric",128.170000,-101.520000,90.000000,top
"R22","1","R_0402_1005Metric",126.170000,-103.878750,-90.000000,top
"R23","1","R_0402_1005Metric",121.910000,-105.498750,-90.000000,top
"R24","47k","R_0402_1005Metric",119.700000,-100.470000,90.000000,top
"R25","47k","R_0402_1005Metric",127.220000,-101.520000,90.000000,top
"S1","PCM12SMTR","PCM12SMTR",132.850000,-98.925000,90.000000,top
"S2","EVP-AWBD4A","EVPAWBD4A",125.950000,-93.635000,-90.000000,top
"S3","EVP-AWBD4A","EVPAWBD4A",130.520000,-106.080000,0.000000,top
"U3","MCP73832-2-OT","SOT-23-5",122.700000,-87.512500,-90.000000,top
"U4","STSPIN220","VQFN-16-1EP_3x3mm_P0.5mm_EP1.8x1.8mm",117.090000,-102.430000,0.000000,top
"U5","STSPIN220","VQFN-16-1EP_3x3mm_P0.5mm_EP1.8x1.8mm",123.570000,-102.428750,0.000000,top
