"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C21,C17";"C_0402_1005Metric";2;"10uF";;;
2;"C16,C9,C19,C15,C20,C23,C4,C5,C6,C2";"C_0402_1005Metric";10;"0.1uF";;;
3;"IC2";"SON50P200X200X90-9N-D";1;"MIC23050-SYML-TR";;;
4;"R8";"R_0402_1005Metric";1;"15k";;;
5;"R22,R19,R23,R18";"R_0402_1005Metric";4;"1";;;
6;"U3";"SOT-23-5";1;"MCP73832-2-OT";;;
7;"R15,R14,R1,R2";"R_0402_1005Metric";4;"5.1k";;;
8;"R17,R20,R16,R13";"R_0402_1005Metric";4;"1k";;;
9;"J1";"JST_SH_BM08B-SRSS-TB_1x08-1MP_P1.00mm_Vertical";1;"Conn_01x08";;;
10;"D1,D2";"D_0402_1005Metric";2;"LED";;;
11;"C7";"C_0402_1005Metric";1;"560pF";;;
12;"J2";"JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal";1;"Conn_01x02";;;
13;"R24,R25";"R_0402_1005Metric";2;"47k";;;
14;"U4,U5";"VQFN-16-1EP_3x3mm_P0.5mm_EP1.8x1.8mm";2;"STSPIN220";;;
15;"S1";"PCM12SMTR";1;"PCM12SMTR";;;
16;"C22,C18";"C_0402_1005Metric";2;"22nF";;;
17;"S2,S3";"EVPAWBD4A";2;"EVP-AWBD4A";;;
18;"L1";"L_0805_2012Metric";1;"L";;;
19;"R7,R10,R11";"R_0402_1005Metric";3;"390k";;;
20;"R12,R9,R3,R5,R6";"R_0402_1005Metric";5;"10k";;;
21;"C3";"C_0402_1005Metric";1;"1uF";;;
22;"JP1,JP2";"SolderJumper-3_P1.3mm_Bridged12_RoundedPad1.0x1.5mm";2;"Jumper_3_Bridged12";;;
23;"J4";"TestPoint_Pad_D1.0mm";1;"Conn_01x01";;;
24;"U1";"ESP32C3MINI1H4X";1;"ESP32-C3-MINI-1-H4X";;;
25;"C1,C10,C8";"C_0402_1005Metric";3;"4.7uF";;;
26;"J3";"GSB1C41110SSHR";1;"GSB1C41110SSHR";;;
27;"IC1";"BGA4C40P2X2_85X85X60";1;"MMC5633NJL";;;
