Item #,*Designator,*Qty,Manufacturer,*Mfg Part #,Description / Value,*Package/Footprint,Type,Your Instructions / Notes
1,U1,1,Espressif Systems,ESP32-C3-MINI-1-H4X,ESP32-C3-MINI-1-H4X,ESP32C3MINI1H4X,SMD,Parts in inventory from previous order G1435622
2,U3,1,Microchip Technology,MCP73832-2-OT,IC BATT CONTRL LI-ION 1CELL 8DFN,8-VFDFN,SMD,
3,"U4,U5",2,STMicroelectronics,STSPIN220,LOW VOLTAGE STEPPER MOTOR DRIVER,VQFN-16,SMD,
4,IC2,1,Microchip Technology,MIC23050-SYML-TR,High Efficiency 600mA Buck Switcher,8-VFDFN,SMD,
5,IC1,1,Memsic Inc.,MMC5633NJL,SEN MR I2C/I3C 4-WLP,4-WLP,BGA,
6,"S2,S3",2,Panasonic,EVP-AWBD4A,Tactile Switches EVP-AWBD4A,SMD,SMD,
7,S1,1,C&K,PCM12SMTR,SWITCH SLIDE SPDT 300MA 6V,SMD,SMD,
8,J3,1,Amphenol Canada,GSB1C41110SSHR,USB Connectors USB2.0 TYPE C,SMD,SMD,
9,"R22,R19,R23,R18",4,YAGEO,RC0402FR-7W1RL,RES 1 OHM 1% 1/8W 0402,0402,SMD,
10,"R17,R20,R16,R13",4,YAGEO,RC0402FR-071KL,RES 1K OHM 1% 1/16W 0402,0402,SMD,
11,"R15,R14,R1,R2",4,YAGEO,RC0402FR-135K1L,RES 5.1K OHM 1% 1/16W 0402,0402,SMD,
12,"R12,R9,R3,R5,R6",5,YAGEO,RC0402FR-0710KL,RES 10K OHM 1% 1/16W 0402,0402,SMD,
13,R8,1,YAGEO,RC0402FR-0715KL,RES 15K OHM 1% 1/16W 0402,0402,SMD,
14,"R24,R25",2,YAGEO,RC0402FR-0747KL,RES 47K OHM 1% 1/16W 0402,0402,SMD,
15,"R7,R10,R11",3,YAGEO,RC0402FR-07390KL,RES 390K OHM 1% 1/16W 0402,0402,SMD,
16,C7,1,Murata Electronics,GRM1555C1H561JA01D,CAP CER 560PF 50V C0G/NP0 0402,0402,SMD,
17,"C22,C18",2,Murata Electronics,GRM155R71C223KA01D,CAP CER 0.022UF 16V X7R 0402,0402,SMD,
18,"C16,C9,C19,C15,C20,C23,C4,C5,C6,C2",10,Murata Electronics,GRM155R71C104KA88J,CAP CER 0.1 uF 16 VDC 10% 0402 X7R,0402,SMD,
19,C3,1,Murata Electronics,GCM155C71A105KE38D,CAP CER 1UF 10V X7S 0402,0402,SMD,
20,"C1,C10,C8",3,Murata Electronics,GRM155R60J475ME47D,CAP CER 4.7UF 6.3V X5R 0402,0402,SMD,
21,"C21,C17",2,Murata Electronics,GRM155R60J106ME05J,CAP CER 10UF 6.3V X5R 0402,0402,SMD,
22,"D1,D2",2,Harvatek Corporation,B2841USD-20D001014U1930,LED RED DIFFUSED 0402 SMD,0402,SMD,
23,L1,1,TKD,MLZ2012N1R0LT000,Power Inductors - SMD 1 UH 20%,0805,SMD,
24,J1,1,JST,BM08B-SRSS-TB,CONN HEADER SMD 8POS 1MM,SMD,SMD,
