"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U1";"ESP32C3MINI1H4X";1;"ESP32-C3-MINI-1-H4X";;;
2;"S3";"SSU121BRT";1;"SSU-121BRT";;;
3;"S2,S1";"EVPAWBD4A";2;"EVP-AWBD4A";;;
4;"R14";"R_0402_1005Metric";1;"261";;;
5;"J1";"GSB1C41110SSHR";1;"GSB1C41110SSHR";;;
6;"IC3";"QFN50P300X300X100-17N";1;"LM324QT";;;
7;"D3";"D_0402_1005Metric";1;"LED";;;
8;"R4,R6,R3,R2,R10";"R_0402_1005Metric";5;"1M";;;
9;"R7,R11,R1";"R_0402_1005Metric";3;"4.7M";;;
10;"C18,C3,C17,C5,C13,C15,C14,C1,C2,C4";"C_0402_1005Metric";10;"0.1uF";;;
11;"U2";"SOT-23-5";1;"MCP73832-2-OT";;;
12;"R17,R8,R18";"R_0402_1005Metric";3;"390k";;;
13;"C8,C16,C9";"C_0402_1005Metric";3;"4.7uF";;;
14;"IC1";"SON50P200X200X90-9N-D";1;"MIC23050-SYML-TR";;;
15;"R9,R5";"R_0402_1005Metric";2;"12K";;;
16;"U3,U4";"WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm";2;"DRV8837C";;;
17;"D2";"LED_0402_1005Metric";1;"LED";;;
18;"C10";"C_0402_1005Metric";1;"560pF";;;
19;"C6,C7";"C_0402_1005Metric";2;"0.001uF";;;
20;"R25,R19,R22,R21,R20";"R_0402_1005Metric";5;"10k";;;
21;"R13,R12";"R_0402_1005Metric";2;"5.1k";;;
22;"D1";"D_0402_1005Metric";1;"D";;;
23;"R15";"R_0402_1005Metric";1;"1k";;;
24;"C12,C11";"C_0402_1005Metric";2;"1uF";;;
25;"L1";"L_0805_2012Metric";1;"L";;;
26;"J4";"Transducer";1;"Conn_01x02";;;
27;"J5";"JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal";1;"Conn_01x02";;;
28;"J2,J3";"PinHeader_1x02_P1.27mm_Vertical";2;"Conn_01x02";;;
