Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_0603_1608Metric",53.350000,-40.300000,0.000000,top
"C2","0.1uF","C_0402_1005Metric",82.850000,-79.550000,90.000000,top
"C3","10uF","C_0603_1608Metric",57.316339,-41.402500,0.000000,top
"C4","0.1uF","C_0402_1005Metric",53.816339,-41.650000,180.000000,top
"C5","10uF","C_0603_1608Metric",57.316339,-45.502500,0.000000,top
"C6","0.1uF","C_0402_1005Metric",53.816339,-45.750000,180.000000,top
"C7","10uF","C_0603_1608Metric",57.316339,-49.602500,0.000000,top
"C8","0.1uF","C_0402_1005Metric",53.816339,-49.850000,180.000000,top
"C9","10uF","C_0603_1608Metric",57.316339,-53.702500,0.000000,top
"C10","0.1uF","C_0402_1005Metric",53.816339,-53.950000,180.000000,top
"C11","10uF","C_0603_1608Metric",57.316339,-57.802500,0.000000,top
"C12","0.1uF","C_0402_1005Metric",53.816339,-58.050000,180.000000,top
"C13","10uF","C_0603_1608Metric",57.316339,-61.902500,0.000000,top
"C14","0.1uF","C_0402_1005Metric",53.816339,-62.150000,180.000000,top
"C15","10uF","C_0603_1608Metric",57.316339,-66.002500,0.000000,top
"C16","0.1uF","C_0402_1005Metric",53.816339,-66.250000,180.000000,top
"C17","10uF","C_0603_1608Metric",57.316339,-70.102500,0.000000,top
"C18","0.1uF","C_0402_1005Metric",53.816339,-70.350000,180.000000,top
"C19","10uF","C_0603_1608Metric",57.316339,-74.202500,0.000000,top
"C20","0.1uF","C_0402_1005Metric",53.816339,-74.450000,180.000000,top
"C21","10uF","C_0603_1608Metric",57.316339,-78.302500,0.000000,top
"C22","0.1uF","C_0402_1005Metric",53.816339,-78.550000,180.000000,top
"C23","10uF","C_0603_1608Metric",89.551250,-81.123750,180.000000,top
"C24","0.1uF","C_0402_1005Metric",93.051250,-80.876250,0.000000,top
"C25","10uF","C_0603_1608Metric",89.551250,-77.023750,180.000000,top
"C26","0.1uF","C_0402_1005Metric",93.051250,-76.776250,0.000000,top
"C27","10uF","C_0603_1608Metric",89.551250,-72.923750,180.000000,top
"C28","0.1uF","C_0402_1005Metric",93.051250,-72.676250,0.000000,top
"C29","10uF","C_0603_1608Metric",89.551250,-68.823750,180.000000,top
"C30","0.1uF","C_0402_1005Metric",93.051250,-68.576250,0.000000,top
"C31","10uF","C_0603_1608Metric",89.551250,-64.723750,180.000000,top
"C32","0.1uF","C_0402_1005Metric",93.051250,-64.476250,0.000000,top
"C33","10uF","C_0603_1608Metric",89.551250,-60.623750,180.000000,top
"C34","0.1uF","C_0402_1005Metric",93.051250,-60.376250,0.000000,top
"C35","10uF","C_0603_1608Metric",89.551250,-56.523750,180.000000,top
"C36","0.1uF","C_0402_1005Metric",93.051250,-56.276250,0.000000,top
"C37","10uF","C_0603_1608Metric",89.551250,-52.423751,180.000000,top
"C38","0.1uF","C_0402_1005Metric",93.051250,-52.176251,0.000000,top
"C39","10uF","C_0603_1608Metric",89.551250,-48.323750,180.000000,top
"C40","0.1uF","C_0402_1005Metric",93.051250,-48.076250,0.000000,top
"C41","10uF","C_0603_1608Metric",89.551250,-44.223751,180.000000,top
"C42","0.1uF","C_0402_1005Metric",93.051250,-43.976251,0.000000,top
"C43","0.1uF","C_0402_1005Metric",57.091339,-42.652500,0.000000,top
"C44","0.1uF","C_0402_1005Metric",57.091339,-46.752500,0.000000,top
"C45","0.1uF","C_0402_1005Metric",57.091339,-50.852500,0.000000,top
"C46","0.1uF","C_0402_1005Metric",57.091339,-54.952500,0.000000,top
"C47","0.1uF","C_0402_1005Metric",57.091339,-59.052500,0.000000,top
"C48","0.1uF","C_0402_1005Metric",57.091339,-63.152500,0.000000,top
"C49","0.1uF","C_0402_1005Metric",57.091339,-67.252500,0.000000,top
"C50","0.1uF","C_0402_1005Metric",57.091339,-71.352500,0.000000,top
"C51","0.1uF","C_0402_1005Metric",57.091339,-75.452500,0.000000,top
"C52","0.1uF","C_0402_1005Metric",57.091339,-79.552500,0.000000,top
"C53","0.1uF","C_0402_1005Metric",89.776250,-79.873750,180.000000,top
"C54","0.1uF","C_0402_1005Metric",89.776250,-75.773750,180.000000,top
"C55","0.1uF","C_0402_1005Metric",89.776250,-71.673750,180.000000,top
"C56","0.1uF","C_0402_1005Metric",89.776250,-67.573750,180.000000,top
"C57","0.1uF","C_0402_1005Metric",89.776250,-63.473750,180.000000,top
"C58","0.1uF","C_0402_1005Metric",89.776250,-59.373750,180.000000,top
"C59","0.1uF","C_0402_1005Metric",89.776250,-55.273750,180.000000,top
"C60","0.1uF","C_0402_1005Metric",89.776250,-51.173751,180.000000,top
"C61","0.1uF","C_0402_1005Metric",89.776250,-47.073750,180.000000,top
"C62","0.1uF","C_0402_1005Metric",89.776250,-42.973751,180.000000,top
"C63","0.1uF","C_0402_1005Metric",77.230000,-74.000000,90.000000,top
"C64","10uF","C_0603_1608Metric",78.500000,-73.450000,90.000000,top
"C65","10uF","C_0603_1608Metric",84.100000,-79.650000,90.000000,top
"C66","10uF","C_0603_1608Metric",89.450000,-38.950000,180.000000,top
"C67","0.1uF","C_0402_1005Metric",71.490000,-41.400000,180.000000,top
"C68","10uF","C_0603_1608Metric",72.365000,-42.650000,180.000000,top
"C69","0.1uF","C_0402_1005Metric",74.790000,-42.400000,0.000000,top
"IC1","DRV8210DSGR","SON50P200X200X80-9N",74.090000,-40.600000,180.000000,top
"IC21","DRV8210DSGR","SON50P200X200X80-9N",54.516339,-43.450000,0.000000,top
"IC22","DRV8210DSGR","SON50P200X200X80-9N",54.516339,-47.550000,0.000000,top
"IC23","DRV8210DSGR","SON50P200X200X80-9N",54.516339,-51.650000,0.000000,top
"IC24","DRV8210DSGR","SON50P200X200X80-9N",54.516339,-55.750000,0.000000,top
"IC25","DRV8210DSGR","SON50P200X200X80-9N",54.516339,-59.850000,0.000000,top
"IC26","DRV8210DSGR","SON50P200X200X80-9N",54.516339,-63.950000,0.000000,top
"IC27","DRV8210DSGR","SON50P200X200X80-9N",54.516339,-68.050000,0.000000,top
"IC28","DRV8210DSGR","SON50P200X200X80-9N",54.516339,-72.150000,0.000000,top
"IC29","DRV8210DSGR","SON50P200X200X80-9N",54.516339,-76.250000,0.000000,top
"IC30","DRV8210DSGR","SON50P200X200X80-9N",54.516339,-80.350000,0.000000,top
"IC31","DRV8210DSGR","SON50P200X200X80-9N",92.351250,-79.076250,180.000000,top
"IC32","DRV8210DSGR","SON50P200X200X80-9N",92.351250,-74.976250,180.000000,top
"IC33","DRV8210DSGR","SON50P200X200X80-9N",92.351250,-70.876250,180.000000,top
"IC34","DRV8210DSGR","SON50P200X200X80-9N",92.351250,-66.776250,180.000000,top
"IC35","DRV8210DSGR","SON50P200X200X80-9N",92.351250,-62.676250,180.000000,top
"IC36","DRV8210DSGR","SON50P200X200X80-9N",92.351250,-58.576250,180.000000,top
"IC37","DRV8210DSGR","SON50P200X200X80-9N",92.351250,-54.476250,180.000000,top
"IC38","DRV8210DSGR","SON50P200X200X80-9N",92.351250,-50.376251,180.000000,top
"IC39","DRV8210DSGR","SON50P200X200X80-9N",92.351250,-46.276250,180.000000,top
"IC40","DRV8210DSGR","SON50P200X200X80-9N",92.351250,-42.176251,180.000000,top
"J1","Conn_01x20","PinHeader_1x20_P2.00mm_Vertical",50.500000,-81.250000,180.000000,top
"J2","Conn_01x20","PinHeader_1x20_P2.00mm_Vertical",96.100000,-43.300000,0.000000,top
"J3","Conn_01x02","PinHeader_1x02_P2.54mm_Vertical",57.000000,-35.125000,0.000000,top
"J4","Conn_01x04","PinHeader_1x04_P2.54mm_Vertical",79.050000,-57.950000,0.000000,top
"J5","Conn_01x02","PinHeader_1x02_P2.54mm_Horizontal",75.050000,-37.350000,90.000000,top
"J6","Conn_01x02","PinHeader_1x02_P2.54mm_Horizontal",80.120000,-37.350000,90.000000,top
"J7","Conn_01x02","PinHeader_1x02_P2.54mm_Horizontal",64.900000,-37.350000,90.000000,top
"J8","Conn_01x02","PinHeader_1x02_P2.54mm_Horizontal",69.970000,-37.350000,90.000000,top
"R1","10k","R_0402_1005Metric",75.850000,-59.350000,90.000000,top
"R2","10k","R_0402_1005Metric",74.850000,-59.350000,90.000000,top
"R3","10k","R_0402_1005Metric",73.080000,-70.550000,90.000000,top
"R4","10k","R_0402_1005Metric",72.080000,-70.550000,90.000000,top
"R5","10k","R_0402_1005Metric",71.080000,-70.550000,90.000000,top
"R6","10k","R_0402_1005Metric",70.080000,-70.550000,-90.000000,top
"R7","10k","R_0402_1005Metric",67.930000,-72.500000,-90.000000,top
"R8","10k","R_0402_1005Metric",68.930000,-72.500000,-90.000000,top
"U1","ESP32-DEVKITC-32E","MODULE_ESP32-DEVKITC-32E",73.422500,-59.115000,180.000000,top
"U2","MCP23S17_ML","QFN-28-1EP_6x6mm_P0.65mm_EP4.25x4.25mm",73.080000,-75.150000,180.000000,top
