X (mm),Y (mm),Z (mm),EM0_Mag,EM0_Az,EM1_Mag,EM1_Az,EM2_Mag,EM2_Az,EM3_Mag,EM3_Az,EM4_Mag,EM4_Az,EM5_Mag,EM5_Az,EM6_Mag,EM6_Az,EM7_Mag,EM7_Az,EM8_Mag,EM8_Az,EM9_Mag,EM9_Az,EM10_Mag,EM10_Az,EM11_Mag,EM11_Az
0.00,0.00,40.00,0.051591,104.53,0.051591,345.47,0.059816,225.00,0.001581,9.62,0.000815,288.48,0.000825,186.34,0.000815,161.52,0.001581,80.38,0.000825,263.66,0.000546,71.94,0.000546,18.06,0.000352,225.00
21.43,0.00,40.00,0.056845,161.85,0.078098,9.31,0.092348,254.05,0.001925,10.47,0.000997,289.96,0.001013,186.88,0.000813,174.67,0.001609,87.24,0.000837,268.18,0.000587,76.30,0.000616,22.26,0.000389,227.37
42.86,0.00,40.00,0.056868,208.08,0.074087,178.28,0.087391,293.20,0.002382,11.48,0.001242,291.69,0.001265,187.52,0.000813,187.99,0.001606,94.14,0.000836,272.73,0.000628,81.14,0.000696,26.72,0.000429,229.93
64.29,0.00,40.00,0.048913,267.24,0.046021,197.54,0.053061,318.81,0.003002,12.70,0.001579,293.73,0.001614,188.30,0.000815,201.05,0.001571,100.99,0.000822,277.24,0.000669,86.52,0.000785,31.44,0.000472,232.70
85.71,0.00,40.00,0.033647,306.48,0.025105,210.08,0.028101,331.70,0.003866,14.23,0.002057,296.16,0.002111,189.25,0.000817,213.46,0.001509,107.74,0.000796,281.66,0.000708,92.52,0.000882,36.45,0.000519,235.69
107.14,0.00,40.00,0.021773,323.56,0.014176,219.64,0.015454,338.75,0.005106,16.17,0.002760,299.11,0.002850,190.44,0.000816,224.95,0.001423,114.32,0.000760,285.95,0.000742,99.24,0.000988,41.74,0.000568,238.90
128.57,0.00,40.00,0.014328,332.35,0.008604,227.01,0.009189,343.07,0.006948,18.75,0.003840,302.73,0.003997,191.98,0.000809,235.41,0.001322,120.70,0.000717,290.06,0.000772,106.76,0.001099,47.31,0.000619,242.35
150.00,0.00,40.00,0.009787,337.67,0.005589,232.74,0.005881,345.96,0.009787,22.33,0.005589,307.25,0.005881,194.04,0.000794,244.82,0.001212,126.83,0.000669,293.96,0.000794,115.18,0.001212,53.17,0.000669,246.04
171.43,0.00,40.00,0.006948,341.25,0.003840,237.27,0.003997,348.02,0.014328,27.65,0.008604,312.99,0.009189,196.93,0.000772,253.24,0.001099,132.69,0.000619,297.65,0.000809,124.59,0.001322,59.30,0.000717,249.94
192.86,0.00,40.00,0.005106,343.83,0.002760,240.89,0.002850,349.56,0.021773,36.44,0.014176,320.36,0.015454,201.25,0.000742,260.76,0.000988,138.26,0.000568,301.10,0.000816,135.05,0.001423,65.68,0.000760,254.06
214.29,0.00,40.00,0.003866,345.77,0.002057,243.84,0.002111,350.75,0.033647,53.52,0.025105,329.92,0.028101,208.30,0.000708,267.48,0.000882,143.55,0.000519,304.32,0.000817,146.54,0.001509,72.26,0.000796,258.34
235.71,0.00,40.00,0.003002,347.30,0.001579,246.27,0.001614,351.70,0.048913,92.76,0.046020,342.46,0.053061,221.19,0.000669,273.48,0.000785,148.56,0.000472,307.30,0.000815,158.95,0.001571,79.01,0.000822,262.76
257.14,0.00,40.00,0.002382,348.52,0.001242,248.31,0.001265,352.48,0.056868,151.92,0.074087,1.72,0.087391,246.80,0.000628,278.86,0.000696,153.28,0.000429,310.07,0.000813,172.01,0.001606,85.86,0.000836,267.27
278.57,0.00,40.00,0.001925,349.53,0.000997,250.04,0.001013,353.12,0.056845,198.15,0.078098,170.68,0.092348,285.95,0.000587,283.70,0.000616,157.74,0.000389,312.63,0.000813,185.33,0.001609,92.76,0.000837,271.82
300.00,0.00,40.00,0.001581,350.38,0.000815,251.52,0.000825,353.66,0.051591,255.47,0.051591,194.53,0.059816,315.00,0.000546,288.06,0.000546,161.94,0.000352,315.00,0.000815,198.48,0.001581,99.62,0.000825,276.34
0.00,21.43,40.00,0.078098,80.69,0.056845,288.15,0.092348,195.95,0.001609,2.76,0.000813,275.33,0.000837,181.82,0.000997,160.04,0.001925,79.53,0.001013,263.12,0.000616,67.74,0.000587,13.70,0.000389,222.63
21.43,21.43,40.00,0.093962,171.78,0.093962,278.22,0.171409,225.00,0.001966,3.00,0.000995,275.77,0.001030,181.97,0.000995,174.23,0.001966,87.00,0.001030,268.03,0.000669,72.01,0.000669,17.99,0.000433,225.00
42.86,21.43,40.00,0.093581,193.83,0.087887,258.45,0.157804,326.31,0.002442,3.29,0.001238,276.28,0.001290,182.16,0.000995,188.65,0.001961,94.50,0.001028,272.96,0.000723,76.78,0.000763,22.56,0.000482,227.58
64.29,21.43,40.00,0.071871,307.54,0.049868,251.46,0.078722,345.96,0.003094,3.65,0.001574,276.89,0.001653,182.39,0.000998,202.73,0.001912,101.95,0.001007,277.85,0.000778,82.11,0.000871,27.44,0.000536,230.39
85.71,21.43,40.00,0.043236,342.47,0.025751,252.55,0.035646,351.25,0.004012,4.09,0.002049,277.62,0.002176,182.66,0.001000,216.00,0.001823,109.26,0.000970,282.63,0.000832,88.11,0.000991,32.64,0.000596,233.45
107.14,21.43,40.00,0.025657,349.02,0.014237,255.00,0.017917,353.66,0.005351,4.66,0.002748,278.51,0.002961,183.01,0.000997,228.17,0.001703,116.37,0.000919,287.24,0.000882,94.87,0.001124,38.17,0.000659,236.77
128.57,21.43,40.00,0.016034,351.88,0.008581,257.21,0.010133,355.03,0.007381,5.42,0.003822,279.62,0.004202,183.47,0.000984,239.12,0.001564,123.22,0.000859,291.63,0.000925,102.50,0.001267,44.04,0.000726,240.36
150.00,21.43,40.00,0.010611,353.51,0.005563,258.99,0.006297,355.91,0.010611,6.49,0.005563,281.01,0.006297,184.09,0.000960,248.87,0.001416,129.75,0.000793,295.77,0.000960,111.13,0.001416,50.24,0.000793,244.23
171.43,21.43,40.00,0.007381,354.58,0.003822,260.38,0.004202,356.53,0.016034,8.12,0.008581,282.79,0.010133,184.97,0.000925,257.50,0.001267,135.96,0.000726,299.64,0.000984,120.88,0.001564,56.78,0.000859,248.37
